Newspaper,Heading,Date,Time,URL
Indian Express,"LiveWorld Cup, SA vs BAN: De Kock run out after good start",2019-06-02,8:27:31 pm,https://indianexpress.com/article/sports/cricket-world-cup/south-africa-vs-bangladesh-live-cricket-score-sa-vs-ban-5761080/
Indian Express,World Cup 2019: Bangladesh register their highest ever ODI total,2019-06-02,7:59:58 pm,https://indianexpress.com/article/sports/cricket-world-cup/bangladesh-highest-odi-total-stats-ban-vs-sa-5761368/
Indian Express,Virat Kohli hurts thumb during nets but 'doing fine',2019-06-02,4:35:48 pm,https://indianexpress.com/article/sports/cricket-world-cup/world-cup-2019-skipper-virat-kohli-hurts-thumb-during-nets-but-doing-fine-5761161/
Indian Express,"Neymar accused of rape, father says player set up",2019-06-02,7:09:10 pm,https://indianexpress.com/article/sports/football/brazilian-soccer-neymar-accused-of-rape-father-says-player-set-up-5760800/
Indian Express,"LiveSouth Africa vs Bangladesh Live Cricket Score Online, World Cup 2019 Live Score: De Kock run out after good start",2019-06-02,20:36:12:00,https://indianexpress.com/article/sports/cricket-world-cup/south-africa-vs-bangladesh-live-cricket-score-sa-vs-ban-5761080/
Indian Express,"World Cup 2019: Shane Warne picks his dream XI, includes one Indian",2019-06-02,20:11:07:00,https://indianexpress.com/article/sports/cricket-world-cup/shane-warne-picks-dream-xi-includes-one-indian-5761395/
Indian Express,World Cup 2019: Bangladesh register their highest ever ODI total,2019-06-02,19:59:58:00,https://indianexpress.com/article/sports/cricket-world-cup/bangladesh-highest-odi-total-stats-ban-vs-sa-5761368/
Indian Express,Igor Stimac names six newcomers as India leave for King’s Cup,2019-06-02,19:13:31:00,https://indianexpress.com/article/sports/football/igor-stimac-names-six-newcomers-as-india-leave-for-kings-cup/
Indian Express,"Neymar accused of rape, father says player set up",2019-06-02,19:09:10:00,https://indianexpress.com/article/sports/football/brazilian-soccer-neymar-accused-of-rape-father-says-player-set-up-5760800/
Indian Express,French Open 2019: Johanna Konta first British woman into quarters since 1983,2019-06-02,19:04:14:00,https://indianexpress.com/article/sports/tennis/french-open-2019-johanna-konta-first-british-woman-into-quarters-since-1983/
Indian Express,French Open 2019: Rohan Bopanna bows out in third round,2019-06-02,18:55:03:00,https://indianexpress.com/article/sports/tennis/french-open-2019-rohan-bopanna-bows-out-of-french-open-doubles/
Indian Express,"World Cup 2019: Shoaib Akhtar, Kevin Pietersen troll each other before Pakistan play England",2019-06-02,18:38:27:00,https://indianexpress.com/article/sports/cricket-world-cup/shoaib-akhtar-kevin-pietersen-troll-each-other-before-pakistan-vs-england-match-5761301/
Indian Express,World Cup 2019: Hashim Amla expected to regain fitness before India match,2019-06-02,18:27:59:00,https://indianexpress.com/article/sports/cricket-world-cup/world-cup-2019-hashim-amla-expected-to-regain-fitness-before-india-match/
Indian Express,World Cup 2019: Skipper Virat Kohli hurts thumb during nets but ‘doing fine’,2019-06-02,16:35:48:00,https://indianexpress.com/article/sports/cricket-world-cup/world-cup-2019-skipper-virat-kohli-hurts-thumb-during-nets-but-doing-fine-5761161/
Indian Express,"South Africa vs Bangladesh, World Cup 2019 Buildup: SA win toss, opt to bowl",2019-06-02,15:19:27:00,https://indianexpress.com/article/sports/cricket-world-cup/south-africa-vs-bangladesh-odi-predicted-playing-11-5760935/
Indian Express,"South Africa vs Bangladesh Live Cricket Score Streaming, World Cup 2019 Live Stream: When and where to watch SA vs BAN",2019-06-02,14:25:31:00,https://indianexpress.com/article/sports/cricket-world-cup/south-africa-vs-bangladesh-live-cricket-streaming-sa-vs-ban-tv-channel-time-ist-5761058/
India Today, No regrets about 2007 World T20 final scoop shot: Misbah-ul-Haq,2019-06-02,20:37,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/salaam-cricket-2019-no-regrets-about-2007-world-t20-final-scoop-shot-misbah-1540957-2019-06-02
India Today," Salaam Cricket 2019: India's bowling attack better than Pakistan, says Younis Khan",2019-06-02,20:37,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/salaam-cricket-2019-inida-1540960-2019-06-02
India Today," Salaam Cricket 2019: Harbhajan, Misbah talk about Indo-Pak battle in World Cup 2019",2019-06-02,20:37,https://www.indiatoday.in/sports/photo/salaam-cricket-2019-harbhajan-misbah-talk-about-indo-pak-battle-in-world-cup-2019-1540959-2019-06-02
India Today, Virat Kohli’s hunger to perform great positive for India at World Cup 2019: Misbah-ul-Haq,2019-06-02,20:37,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/virat-kohli-hunger-to-perform-great-positive-for-india-at-world-cup-2019-misbah-ul-haq-1540928-2019-06-02
India Today, Salaam Cricket 2019: R Ashwin predicts India vs England World Cup 2019 final,2019-06-02,20:37,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/salaam-cricket-2019-r-ashwin-predicts-india-vs-england-final-1540944-2019-06-02
India Today, It is a real honour to be here: Ranveer Singh at Salaam Cricket 2019,2019-06-02,20:37,https://www.indiatoday.in/sports/video/salaam-cricket-2019-ranveer-singh-harbhajan-singh-kapil-dev-1540937-2019-06-02
India Today, Salaam Cricket 2019: Michael Clarke and Nasser Hussain reminiscing old memories,2019-06-02,20:37,https://www.indiatoday.in/sports/photo/salaam-cricket-2019-michael-clarke-and-nasser-hussain-reminiscing-old-memories-1540923-2019-06-02
India Today, Salaam Cricket 2019: When Shoaib Akhtar asked Harbhajan for World Cup 2011 final tickets,2019-06-02,20:37,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/salaam-cricket-2019-shoaib-akhtar-asked-harbhajan-world-cup-final-tickets-1540890-2019-06-02
India Today," Salaam Cricket 2019 Live: Sachin Tendulkar, Wasim Akram relive their golden days",2019-06-02,20:37,https://www.indiatoday.in/sports/story/salaam-cricket-2019-live-updates-india-today-sachin-warne-akram-gavaskar-lords-cricket-ground-1540678-2019-06-02
India Today," Sourav Ganguly changed India into a ruthless ODI team, says Nasser Hussain",2019-06-02,20:37,https://www.indiatoday.in/sports/story/salaam-cricket-2019-nasser-hussain-michael-clarke-sourav-ganguly-virat-kohli-india-1540909-2019-06-02
India Today, Salaam Cricket 2019: Warne refuses to pick himself in his dream World Cup XI,2019-06-02,20:37,https://www.indiatoday.in/sports/video/salaam-cricket-2019-warne-refuses-to-pick-himself-in-his-dream-world-cup-xi-1540904-2019-06-02
India Today," Salaam Cricket 2019: Gavaskar clarifies 1983 US tour plan, Warne picks his favourites, and more",2019-06-02,20:37,https://www.indiatoday.in/sports/video/salaam-cricket-2019-gavaskar-clarifies-1983-us-tour-plan-warne-picks-his-favourites-and-more-1540869-2019-06-02
India Today," India will be under pressure, Pakistan have nothing to lose in World Cup: Harbhajan Singh",2019-06-02,20:37,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/india-will-be-under-pressure-pakistan-have-nothing-to-lose-in-world-cup-harbhajan-1540854-2019-06-02
India Today," Salaam Cricket 2019: Shane Warne, Sunil Gavaskar discuss World Cup 2019",2019-06-02,20:37,https://www.indiatoday.in/sports/photo/salaam-cricket-2019-shane-warne-sunil-gavaskar-discuss-world-cup-2019-1540851-2019-06-02
India Today," Salaam Cricket 2019: Pakistan do not have the talent to beat India in World Cup 2019, says Harbhajan ",2019-06-02,20:37,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/salaam-cricket-2019-pakistan-do-not-have-the-talent-to-beat-india-world-cup-2019-1540842-2019-06-02
India Today, Salaam Cricket 2019: Shane Warne picks his dream World Cup XI,2019-06-02,20:37,https://www.indiatoday.in/sports/cricket-world-cup-2019/story/shane-warne-cricket-world-cup-2019-all-time-xi-salaam-cricket-2019-1540824-2019-06-02
India Today," Salaam Cricket 2019: Kapil Dev greatest Indian cricketer ever, says Sunil Gavaskar",2019-06-02,20:37,https://www.indiatoday.in/sports/story/salaam-cricket-2019-kapil-dev-greatest-indian-cricketer-ever-says-sunil-gavaskar-1540820-2019-06-02
India Today,"      Salaam Cricket 2019: Full guest list, session names and timing ",2019-06-02,20:37,https://www.indiatoday.in/sports/story/salaam-cricket-2019-full-guest-list-session-names-and-timing-sachin-wasim-warne-viv-richards-1540254-2019-06-01
India Today,      Rohit Sharma and Shikhar Dhawan reveal the funniest sledges by Indian players ,2019-06-02,20:37,https://www.indiatoday.in/sports/cricket/story/cricket-india-rohit-sharma-shikhar-dhawan-breakfast-with-champions-ajinkya-rahane-dhawal-kulkarni-1540125-2019-06-01
India Today,"      NZ vs SL Highlights, ICC World Cup 2019: NZ beat SL by 10 wickets ",2019-06-02,20:37,https://www.indiatoday.in/sports/story/new-zealand-vs-sri-lanka-live-cricket-score-icc-world-cup-2019-nz-sl-1540115-2019-06-01
India Today,      Former first-class players request BCCI to revise their pension ,2019-06-02,20:37,https://www.indiatoday.in/sports/cricket/story/bcci-asked-to-raise-pension-for-sanjay-jagdale-ashu-dani-vinay-limba-first-class-cricket-1539422-2019-05-31
India Today," IPL 2019: After historic triumph, Rohit Sharma chills out with family",2019-06-02,20:37,https://www.indiatoday.in/sports/story/ipl-2019-rohit-sharma-family-maldives-ritika-sajdeh-samiara-1526933-2019-05-16
India Today," IPL 2019: Shane Watson touched by CSK fans' support, says keen on coming back next year",2019-06-02,20:37,https://www.indiatoday.in/sports/story/shane-watson-knee-injury-chennai-super-kings-ipl-2019-final-fans-support-instagram-video-1526380-2019-05-16
India Today," IPL 2019: After historic triumph, Rohit Sharma chills out with family",2019-06-02,20:37,https://www.indiatoday.in/sports/story/ipl-2019-rohit-sharma-family-maldives-ritika-sajdeh-samiara-1526933-2019-05-16
India Today," IPL 2019: Shane Watson touched by CSK fans' support, says keen on coming back next year",2019-06-02,20:37,https://www.indiatoday.in/sports/story/shane-watson-knee-injury-chennai-super-kings-ipl-2019-final-fans-support-instagram-video-1526380-2019-05-16
Time of India,"cricketSA v BAN Live: Markram, Faf rebuild SA chase",2019-06-02, 20:26:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-cricket-world-cup-south-africa-vs-bangladesh-live-cricket-score-updates-2019-cricket-world-cup-live-score-online/articleshow/69618997.cms
Time of India,cricketNo one in team takes my bowling seriously but I do: Kohli,2019-06-02, 20:24:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/no-one-in-team-takes-my-bowling-seriously-but-i-do-jokes-virat-kohli/articleshow/69622840.cms
Time of India,tennisRoger Federer eases into 12th French Open quarter-final,2019-06-02, 19:39:00,https://timesofindia.indiatimes.com/sports/tennis/french-open/roger-federer-eases-into-12th-french-open-quarter-final/articleshow/69622178.cms
Time of India,Virat Kohli & Co hit the gym ahead of South Africa clash,2019-06-02, 19:32:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/icc-world-cup-2019-virat-kohli-co-hit-the-gym-ahead-of-south-africa-clash/articleshow/69622176.cms
Time of India,World Cup 2019: Hashim Amla could be fit for India clash,2019-06-02, 16:36:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/world-cup-2019-hashim-amla-could-be-fit-for-india-clash/articleshow/69620476.cms
Time of India,World Cup Live Blog: South Africa vs Bangladesh,2019-06-02, 19:59:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/live-blog/live-cricket-score-south-africa-vs-bangladesh-icc-world-cup-2019/liveblog/69619224.cms
Time of India,"Jadhav does full-fledged nets, no word on playing SA game yet",2019-06-02, 20:04:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/2019-cricket-world-cup-kedar-jadhav-does-full-fledged-nets-no-word-on-playing-sa-game-yet/articleshow/69622681.cms
Time of India,Vondrousova humiliates Sevastova to reach French Open last eight,2019-06-02, 17:32:00,https://timesofindia.indiatimes.com/sports/tennis/french-open/vondrousova-humiliates-sevastova-to-reach-french-open-last-eight/articleshow/69620327.cms
Time of India,World Cup format gives us lots of chances to enter semis: Jeevan Mendis,2019-06-02, 19:43:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/world-cup-format-gives-us-lots-of-chances-to-get-five-wins-to-enter-semis-jeevan-mendis/articleshow/69622388.cms
Time of India,Rohan Bopanna bows out of French Open men's doubles,2019-06-02, 18:08:00,https://timesofindia.indiatimes.com/sports/tennis/french-open/rohan-bopanna-bows-out-of-french-open-mens-doubles/articleshow/69621460.cms
Time of India,Italian Danilo Petrucci takes first MotoGP win at Mugello,2019-06-02, 19:17:00,https://timesofindia.indiatimes.com/sports/racing/top-stories/italian-danilo-petrucci-takes-first-motogp-win-at-mugello/articleshow/69621932.cms
Time of India,Virat Kohli hurts thumb ahead of India's World Cup opener,2019-06-02, 18:23:00,https://timesofindia.indiatimes.com/sports/cricket/icc-world-cup/virat-kohli-hurts-thumb-ahead-of-indias-world-cup-opener/articleshow/69618652.cms
Time of India,Britain's Johanna Konta powers into Roland Garros last eight,2019-06-02, 17:40:00,https://timesofindia.indiatimes.com/sports/tennis/french-open/french-open-2019-britains-johanna-konta-powers-into-roland-garros-last-eight/articleshow/69621068.cms
Time of India,Ruiz stuns Joshua for world heavyweight title,2019-06-02, 10:26:00,https://timesofindia.indiatimes.com/sports/boxing/andy-ruiz-stuns-anthony-joshua-for-world-heavyweight-title/articleshow/69616953.cms
